URL,Title,Category,Price,Stock Number,Length,Composition,VIN,Number of Rear Axles,Updated,Description,Location,Floor Type,Gross Vehicle Weight,Seller,Type of Neck,,Width
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/246935149/2026-bear-track-14-ft-landscaping-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2026 BEAR TRACK 14 FT,Landscaping Trailers,"USD $3,850",0064,14 ft,Aluminum,50MUW1410TB000064,Single,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTT80168W," Fort Plain, New York",,, Dutchman Enterprises,Fixed,,
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/246935069/2026-bear-track-14-ft-landscaping-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2026 BEAR TRACK 14 FT,Landscaping Trailers,"USD $3,850",0063,14 ft,Aluminum,50MUW1419TB000063,Single,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTT80168W," Fort Plain, New York",,, Dutchman Enterprises,Fixed,,
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/246934823/2026-bear-track-14-ft-flatbed-slash-tag-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2026 BEAR TRACK 14 FT,Flatbed / Tag Trailers,"USD $3,590",0060,14 ft,Aluminum,50MUW1413TB000060,Single,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTU801...," Fort Plain, New York",Wood Floor,, Dutchman Enterprises,,,
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/246934731/2026-bear-track-14-ft-flatbed-slash-tag-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2026 BEAR TRACK 14 FT,Flatbed / Tag Trailers,"USD $3,590",0057,14 ft,Aluminum,50MUW1413TB000057,Single,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTU801...," Fort Plain, New York",Wood Floor,, Dutchman Enterprises,,,
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/245911063/2024-bear-track-22-ft-x-99-in-landscaping-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2024 BEAR TRACK 22 FT X 99 IN,Landscaping Trailers,"USD $8,500",0664,22 ft,Aluminum,50MBS2226RB000664,Tandem,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTS992...," Fort Plain, New York",,, Dutchman Enterprises,,,99 in
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/245910831/2024-bear-track-22-ft-x-99-in-landscaping-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2024 BEAR TRACK 22 FT X 99 IN,Landscaping Trailers,"USD $8,500",0663,22 ft,Aluminum,50MBS2224RB000663,Tandem,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTS992...," Fort Plain, New York",,, Dutchman Enterprises,,,99 in
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/246245975/2024-bear-track-16-ft-x-99-in-other-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2024 BEAR TRACK 16 FT X 99 IN,Other Trailers,"USD $6,399",0666,16 ft,Aluminum,50MBS1624RB000666,Tandem,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTS991...," Fort Plain, New York",,, Dutchman Enterprises,,,99 in
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/245911539/2024-bear-track-12-ft-x-99-in-landscaping-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2024 BEAR TRACK 12 FT X 99 IN,Landscaping Trailers,"USD $4,500",0668,12 ft,Aluminum,50MBS1211RB00068,Single,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTS991...," Fort Plain, New York",,, Dutchman Enterprises,,,99 in
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/245911421/2024-bear-track-12-ft-x-99-in-other-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2024 BEAR TRACK 12 FT X 99 IN,Other Trailers,"USD $4,500",0667,12 ft,Aluminum,50MBS121XRB000667,Single,"Tuesday, October 21, 2025 07:48 AM",BEAR TRACK BTS99...," Fort Plain, New York",,, Dutchman Enterprises,,,99 in
https://www.dutchmanenterprises.com/inventory/?/listing/for-sale/248779775/2026-belmont-dlx8214-16k-dump-trailers?dlr=1&dscompanyid=127470&settingscrmid=19663818,2026 BELMONT DLX8214-16K,Dump Trailers,"USD $6,899",7398,8 ft,Steel,50PBD082XTL007398,Single,"Wednesday, November 05, 2025 04:36 PM",," Fort Plain, New York",,, Dutchman Enterprises,,,5 in
